Genotype,Temperature(°C),Round,Individual,B1,B2,"Meristem length, mm","Growth zone length, mm","Elongation zone length, mm",B-raw,B,,
Mt-0,25,3,1,0.035,0.375,0.5,2.28,1.78,0.41,41,,
Mt-0,25,3,2,0.01,0.433,0.41,1.71,1.3,0.443,44.3,,
Mt-0,25,3,3,0.085,0.56,0.6,1.22,0.62,0.645,64.5,,
Mt-0,25,3,4,0.005,0.442,0.55,2.24,1.69,0.447,44.7,,
Mt-0,25,3,5,0.005,0.4,0.38,2.04,1.66,0.405,40.5,,
Mt-0,25,3,6,0.005,0.435,0.64,2.15,1.51,0.44,44,0.621428571,
phot1-5,25,1,1,0.01,0.5,0.58,1.82,1.24,0.51,51,,
phot1-5,25,1,2,0.006,0.39,0.55,2,1.45,0.396,39.6,,
phot1-5,25,1,3,0.01,0.465,0.43,1.51,1.08,0.475,47.5,,
phot1-5,25,1,4,0.039,0.415,0.37,1.46,1.09,0.454,45.4,,
phot1-5,25,2,1,0.085,0.5,0.64,1.41,0.77,0.585,58.5,,
phot1-5,25,2,2,0.015,0.505,0.58,1.52,0.94,0.52,52,,
